product,narrative
mortgages_and_loans,went u bank one attempt home loan gave info even got letter job buy task said need cant count many time heard got said need car payment knocked forgot mention started acting right talked management still sitting brother looking help home buying process please help please something
retail_banking,number associated paypal changed wrote ask paypal lift could change number could get account time wo let open new one bank bank attached old account email want closed even get close wo either
debt_collection,debt recovery solution get information company record longer use record charged bankruptcy debt exist specifically prey minority woman woman prey demographic feel easily intimidated paying money owe debt desire release stop harassing remove credit report
credit_reporting,sent letter regarding inaccurate unknown thing credit report day day later received response yet feel like im taken advantage ignored dispute section plainly stated failure investigate item within give reason immediately remove item credit report day deleted promtly demand account deleted immediately file iltigation due stress caused information also impacted data breach may got hand wrong person
debt_collection,present sent letter letter company regard following amount owed liable proof account belongs yet continue report false information dispute account online also yet nothing
credit_reporting,today attempted call experian waited minute gentleman answered hang within minute
credit_card,credit card balance american express year customer couple month ago run delay working year amex decided cancel account confiscate point demand payment full account amex policy giving customer four month sends account collection week last made payment sent account collection even though told needed one month coronavirus tanked income middle company offering forbearance people whose business suffering coronavirus amex sent collection week got letter someone talk american express told would pay multiple sale sell one pay full going credit american express care care appearance caring way credit score done sure much lower american express
credit_reporting,observed credit report delinquent account american express account paid year reached offer settlement account closed showing settled contacted company told account collection collection company told contact settle debt contacted told handling account information would need contact american express contacted american express told informed informed account must limbo collection agency would call back later time asked speak supervisor right take care debt credit report call provide service believe debt removed credit report together american express causing credit suffer longer money settle debt wish american express provide mean settle debt allow show settled since day attempted settle debt request american express show debt paid full without collecting payment since provide way pay account listed name social would provide account number
credit_card,main problem wayfair bank payment purposefully sent prior end promotional period amount apply incurred promo plus another fee making multiple large payment pay bill starting original amount literally paid want fell promo scam wait pay last month back interest purposefully slow posting payment fee also ridiculous interest illegal used call loan sharking also limit payment posted processed hour receipt taking money paying bill problem come called got sent email secondary problem creditor different made mistake opening card buying store never received card bill also wrong address one lived year ago supposed fixed called get fixed get back bill card bad credit people ruining cant fix account person
retail_banking,deposited four money order one cashier check account totaling monthly banking statement reflect deposit complained well fargo said record deposit even though shown receipt five check deposited said atm malfunctioned take meaning lost check asked credit account give back money order know photograph proof deposit happened nc transaction
credit_reporting,sent several letter equifax resolve matter continue report inaccurate address misreporting information credit report account continue report inaccuracy responding dispute
credit_reporting,several misspelling inaccurate information report incorrect balance amount unknown address several company reporting inaccurate balance inaccurate balance bank reporting inaccurate balance address need removed inaccurate inverted numeric portion address would like dispute information law required report accurate information compaines reported inaccurate information preventing place live
credit_reporting,bureau following law provided investigation result change sent several letter regard disputing matter upon credit please help assisting getting matter resolved soon
debt_collection,year old college student live home parent two credit card year old minor someone stole information opened account reported identity fraud called collection agency referred spoke made fill pamphlet claiming fraud account removed new collection agency c system inc attempting collect debt claim date opened please help predator allows account opened name minor nothing protect victim
credit_card,cash app since contacted customer service time direct line verbally speak someone still word cash app im havent ate havent released real time statement anything
credit_card,called customer service number credit card asked cancel credit card said system unable refused cancel card instead representative hung
credit_reporting,capitalone reporting inaccurate account information credit report high balance differs credit bureau date last activity differs credit bureau date reported differs credit bureau last payment differs credit bureau credit limited missing closed date differs credit bureau
credit_reporting,writing dispute billing error amount account amount inaccurate overbilling fee month requesting error corrected finance charge related disputed amount credited well receive accurate statement enclosed copy request correct balance due apply payment made towards account supporting position please investigate matter correct billing error soon possible contacted regarding fee charged account monthly basis informed overcharging intentionally prevent principal amount decreased none payment applied balance date think consumer fraud using derogatory credit method get pay excess already made sincerely
credit_reporting,victim identity notified collection creditor several time account belong way received good service company provided police report ftc id theft affidavit signed notarized along sworn statement regarding fraudulent account document submitted credit bureau
credit_card,dear im reporting issue purpose raise attention contacted customer service via phone month ago issued case number told reached week never received response phone mail understand might pandemic disrupted lot thing simple word converted citi thankyou preferred credit card citi double cash credit card last two typ credit card via phone citi customer service kept asking ensure wont lose point making decision conversion understanding point linked another thankyou preferred credit card chatting staff however lost point due conversion couple month month ago contacted customer service hope get lost point back issued case thanks attention
credit_reporting,disputed bankruptcy showing report multiple time credit bureau reporting false information single one deleted inaccurate information bankruptcy
mortgages_and_loans,account given forbearance thru month end due covid credit hit late payment incorrect account already forbearance
retail_banking,complaint paypal credit card deliberately ignoring dispute billing error statement dated violation section fair credit billing act fcba contacted paypal customer service phone spoke customer service supervisor named informed calling dispute amount listed billing statement believed billing error dispute based paypal credit account agreement section titled billing right summary fcba receiving dispute paypal required fcba take following action provide written acknowledgment within day receipt dispute conduct investigation disputed amount provide written explanation clarification conducted investigation later two complete billing cycle creditor event later ninety day receipt dispute according section fcba written explanation set forth reason whether creditor belief account obligor correctly shown statement whether error day since contacted paypal customer service submitted dispute however received acknowledgment letter within day received letter explaining result investigation whether paypal credit found amount dispute billing error p complaint paypal credit ignoring dsipute complaint disputed amount retain right submit different complaint dipsuted amount needed
credit_reporting,like victim identity theft proven whoever made hard inquiry credit report around time sent dispute letter pertaining inquiry never heard nothing back idk due covid patient wondering going requested get deleted heard back issue
retail_banking,sold laptop person purchased got paid paypal buyer opened case receiving item package tracked proven delivered case closed favor money freed taken reported buyer suspicious outlandish request item received world ending doesnt get paid suspicious two day later buyer open another case start want refund item listed listed proved easily listing pic clearly show bogus claim suspicious buyer sends email send buyer return label stated due suspicious request case closed reporting buyer scammer debit account try take money back without resolution request account negative want money fair legal
credit_card,contacted discover credit card regarding erroneous transfer account occurred determined fraud credited account cancelled card gave new account number card credited erroneously taken credited back account taken credited back account taken account charged late fee interest closed account assured taken care month called discover time talk representative taking hour time time told corrected would happen finaly froze account another erroneous withdrawal told close account assured would correct
credit_reporting,attempted settle debt credit collection service specifically asked account would removed credit report settling ie would stop reporting etc answered affirmative however still showing report ive contacted say cant remove credit collection service credit collection service say remove say theyve reviewed call one ever said would stop reporting credit bureau let listen call verify response confirming would stop reporting credit bureau gave obtuse deliberately confusing reply sounded like yes proceeded remove report deliberately deceptive behavior order collect debt ive settled debt want removed credit report
credit_card,account good standing year bank abruptly decides close account allegedly operating business type chosen service reference work medical consulting field specifically covid project give day notice number call question line scam staff consistently answer give explanation discus bank policy y confirm closing notice final bank abruptly change reason account closing like asked u many call including one bank personal wealth management associate information sort provided obtained stop making payment send letter requesting allegedly requested account closed receive letter back stating unable process recent inquiry information provided collection call number start including weekend answer ask time please review note see prior request complaint filed manager review case ie business type bank longer service information regarding allegedly requested account closed b time told yes many request seen system detail provided manager c supervisor manager ever avaible time promise made manager call back information within hr never happens becomes clear account closure due business type sham clearly reversed spend day otherwise billable time setting alternate banking credit card account different bank least dozen conversation customer service many documented even case assigned bank gall send letter claiming able reach phone since initial communication time covid bank customer something ominous scripted clearly planned bank america closing good standing small transaction account without cause reason investigated orchestration extent issue
retail_banking,issue chase deposited cashed check made three party one endorsement check required three endorsement one endorsement signature check chase bank refunded money deposited another account account number tax id tx economically damaged request assistance resolve matter make financially whole please investigate wife received check roof damage insurance claim home tx check check number made wife mortgage company needed three endorsement order cash mortgage company first name check verifying told needed stamp check also made needed signature additionally made needed signature handed endorsed state auto check signature deposited check chase account check designation therefore required three u endorse check found check without signature contacted bank insurance company chase bank basically said nothing wrong deprived money belongs accepting cashing depositing money account number contacted issuing bank check question recommended contact insurance company investigate contacted insurance company representative report fraud concurred needed endorsed check since hold mortgage property care associate company phonexxxx reached said nothing wrong tried set time see bank branch manager check deposited credited account would see left voicemail message called inquire issue filed complaint chase executive branch consumer complaint department regarding getting satisfactory answer bank manager called bank manager check deposited sent email since called back left long per voicemail called issuing bank recommended contact insurance company investigate well file complaint executive branch consumer complaint department done chase escalated complaint tell doubt furthermore filing complaint today consumer financial protection bureau since passing proverbial buck seems compliance perspective internal check balance insufficient protect customer monies keep well balance account moving competitor im significant amount money plan filing complaint attorney general investigate innocent client unjustly deprived today tried get resolution spoke owner try get resolution told situation told done nothing wrong
retail_banking,contacted man said fraud theft division said phone hacked mobile bank apps check account checked everything time looked okay checked later transaction made person dont know never ever made transaction kind notified pnc bank told change password thell investigate day later received letter pnc investigation made transfer valid therefore dispute declined looked person money american girl florida know anyone florida make transaction disputed transaction received response pnc filed disputed know person make transaction pnc denied dispute provide proof investigation transaction valid acceptable im disputing give stolen lot money im s
credit_reporting,account still reported past due collection charged three credit bureau account collection charged ive asked company supply number time amount trying collect account fact collection im told received monthly payment company illegally tagging account collection ive received collection call account one time auto draft payment since beginning year
retail_banking,synchrony financial habit letting customer know cd renewal early week prior maturity letting know much late renewed calendar day renewed
retail_banking,victim fraud paid service bb denied claim reimbursement debit card used credit card pin entered
debt_collection,sent certified letter monarch recovery management inc sent certified letter convergent alleged debt collection feel account adversely affecting credit report costing thousand dollar interest every year need problem fixed asap demand account deleted immediately file litigation due stress caused section plainy stated failure investigate item within day give reason immediately remove item credit report violation according fdcpa violation usc b usc b also name account inaccurate unverifiable incorrect gave location information present transaction referring delinquent anything nothing defines delinquent thing delinquency didnt permission contact pursuant c didnt prior consent thats violation get location information address granted permission contact threatening report credit information isnt true another violation violating consumer right federally protected consumer title chapter infringing privacy alleged debt collection feel account adversely affecting credit report costing thousand dollar interest every year need problem fixed asap demand account deleted immediately file litigation due stress caused section plainy stated failure investigate item within day give reason immediately remove item credit report violation according fdcpa violation usc b usc b also name account inaccurate unverifiable incorrect gave location information present transaction referring delinquent anything nothing defines delinquent thing delinquency didnt permission contact pursuant c didnt prior consent thats violation get location information address granted permission contact threatening report credit information isnt true another violation violating consumer right federally protected consumer title chapter infringing privacy
debt_collection,repeatedly told company contact cell phone number provided either debt collector original debtor account recently got number call started almost immediately interaction debt collector original debtor original debt year old notified company illegally obtained cell phone number well inconvenient contact put violation fdcpa call several time day never leave voicemail answer continue violate fdcpa inconveniencing work cause lose employment last interaction today telling since stop calling number yet continue call
credit_card,hi capitalone team reviewing account credit report noticed following issue due inaccurate information relation billing statement compliance per fcba care act fcra reporting issue compliance never received billing statement electronic regular mail showing balance payment made reporting incorrect information fcra provision care act section failure update set balance failure provide accommodation national state emergency care act section failure provide current status account information care act section failure provide timely accurate billing statement balance due per fcba fcba requires periodic normally monthly billing statement balance due never received billing statement electronic regular mail showing balance payment made thank assistance
credit_card,may concern american express centurion card holder year since never missed payment never late accumulated point several year monday trying buy coffee card denied immediately called american express said payment late late true payment due also monday account manager proceeded use approximately book flight son goto college flight booked son locator issued following day itinerary revoked american express make matter worse flight sold american express notified said due non payment allowed use point accumulated last several year told american express talk underwriting hour min phone underwriting stated put limit american express card amazement today payment still due talking underwriting told asking additional information account told every year past year sent personal tax return american express nothing changed finance time demanded information never year american express american express arbitrarily without type notification reason freeze card working even though limit several year enclosed card bill show balance preset spending limit payment due see enclosed statement american express unlawfully illegally withheld point earned several year holding hostage even though bill due till answer
mortgages_and_loans,filed discharge loan fedloan keep adding interest account dispute two year refusing review loan discharge fraudulent school attended loan deferment interest adding per month reported credit agency unacceptable need remedied sincerely
credit_reporting,sent letter credit bureau inaccurate information account already paid showing delinquent account delinquent showing like inquiry authorized credit report credit score want open investigation solve problem affecting credit score
debt_collection,got loan totally paid nca put credit report opened even though clearly show last pymt seven year reporting period expiring show new debt collection negatively affect credit seven additional year
credit_reporting,sent letter called unauthorized inquires removed never received anything back called told could dispute inquires removed reiterated authorize inquires inaccurate several also said read online anything inaccurate credit report dispute removed calling bureau still denied
debt_collection,company called penn credit collection put negative remark credit report see allot negative review nationwide know cant reason see false claim utility year say disputing probably trying bilk monies thats see thought fraud company closed government ripping people
debt_collection,account settled attorney refuse update credit clearly state web site settled account deleted credit bureau
credit_card,card canceled fraudulent charge new card issued notified letter would credited car every time call tell money card tell wait today still transfer fund today said money old card still waiting fir fund
retail_banking,today cashapp account hacked someone taking money bank card putting cashapp took card cashapp tried send money people reset cash pin phone number email would able anything person account used email occurred changed cash pin cashapp bank card blocked transaction request
retail_banking,name wealthiest man world many judicial lawyer united state patriot act national archive informative quarantine section informative quarantine titled pa patriot act hold current badge united state police united state military someone found irs form stole tax return amount approximately dollar also opened bank account merchant account always account one account want account may open merchant stream force merchant transaction ach transfer check major transaction deposited dollar check also superficial exile united state military dizzy position may without dollar exposed invisible account month position hold military require much money visible attached letter evidence transaction well fargo user access agreement state authorized user guest user authorized user account instead guest user bank change person opened account name account well fargo account everyday checking account account number identity theft insurance shoe major withdrawal account make transaction day also way online banking show link account plaid id theft tax return order phone must amend return also still fail federal income tax state tax deposit irs show slip tax stimulus speech tax transaction irs deposit violation subsequential international level money handled stolen hold position united state united state land already sectioned eight section congress whenever seven wrapping information maintained declaratory amended removed united state traveling visiting subliminal abeyance finalized amendment removal information maintained subliminal pretrial abeyance finalized case number district district federal court hold slot united state supreme court chief justice barr license information amended declaratory anything capable done world hold
credit_reporting,enrolled lens covid program incorrectly hit late payment credit drastically impacted financial situation hard time already paid company amount supposed differed current made amount current rep said sometimes covid hardship program late payment get reported incorrectly still getting run around assistance whatsoever e tolerated time like employee incompetence
mortgages_and_loans,set auto loan payment loan installment due institution checking account went verify auto loan payment pending appear payment pending checking account auto loan initiated another payment checking account auto loan ensure payment made billing cycle auto transfer appeared show queued transfer fund auto loan checking balance transaction within checking account noticed payment made auto loan one pending status posted called navy federal pending payment cancelled customer service rep told could stop pending payment process could call back payment posted duplicate payment reversed asked anything could done account side stop payment advised could since loan account system requested file complaint due poor customer service loan payment experience put hold different time min never connected supervisor initiate complaint informed could call back later file complaint work already posted loan payment reversed since pending payment would still ensure cycle paid option poor one advised would filing complaint cfpb
credit_reporting,trying get free credit report three company either ignored say due exist tried fax well gone web site ask due result yet
credit_reporting,noticed victim identity theft year collection agency placed collection credit report fraudulent activity contacted collection agency original creditor explained transferred several time disrespected customer service rep explaining situation wrong person company unprofessional also sent copy police report also file cfpb ftc accept
debt_collection,apparently trying bill something submitted documentation never received bill eomb either accepting denying claim get day notice bill get day notice debt collector regarding debt nothing
mortgages_and_loans,got payday loan speedy cash offer pay owed judgement put went supposedly owe interest
credit_reporting,transunion taken point account closed good standing fully paid account old effect credit score past year old sudden took point account closed filed dispute removed credit score never gave point back disputed time transunion said disputed mortgage instead account problem dispute came back correct credit score dropped yet disputed time transunion went different account information came back dropped score tried calling transunion speaking two different people yet neither one understood information instead taking care mistake kept repeating theirselves credit calculated number factor problem credit score keep dropping mistake wo fix accurate score transunion slap whatever feel
retail_banking,received ppp loan navy federal account shut account saying using checking account business acct totally false proof
credit_reporting,account authorize company pull credit please remove
credit_reporting,sent information credit bureau investigate item report still sent anything back one letter sent middle pandemic family affected asked respond well day still nothing please help know busy law suppose respond within certain time frame
credit_reporting,filing dispute accordance fair credit reporting act fcra upon review credit report found inaccurate unverified item impacted ability receive credit provided unnecessary inconvenience sure aware right according section fcra request proper investigation inaccuracy particular referencing section c b iii list right consumer dispute information file consumer model summary right consumer following item wish dispute credit report bankruptcy contacted court public record told send anything credit bureau contacted debt letter attached find file record name full social address date birth attached copy letter stated fcra required respond dispute within day receipt letter fail offer response disputed information must deleted thank advance prompt response resolution issue
credit_reporting,inquiry credit report citi authorize reached several time resolve issue get inquiry removed respond
credit_reporting,reviewing credit report found account belong time writing disputing inaccurate account hindering better life date
retail_banking,applied personal loan internet received email call company approved loan phone company already ssn dob bank information company tell check bank account till finish depositing money mu account tell purchase something debit card next know money saving taken using notified bank everything froze account claiming fraudulent activity done pay back money stolen saying wrote bad check need pay back unemployment check taken week im able pay anything including daycare daughter bank usaa
debt_collection,debt submitted national enterprise system inc agreement collection agency firm failed send legally required validation debt notified action detrimental firm violated including limited consumer credit protection act fair credit reporting act fair debt collection practice act firm knew known action taken information collected inappropriate damaging failed use reasonable care course business failed use even minimal procedure ensure continuing communicate incorrect defamatory information third party including limited result blatantly reckless wanton intentional act suffered continue suffer general specific damage also upset firm intentional infliction emotional distress diminishments quality life
credit_reporting,dear investigator thank taking time help resolve problem background prior contacted fraudster claiming left message return phone call contacted confirmed fraud took action received letter notifying cc application submitted name ssn fraud contacted cancelled request suggested call experian fraud alert placed credit report instructed problem person able speak experian automated system unwieldy confusing unhelpful matter hard tried unable put fraud alert credit report instead automated system put freeze credit want freeze credit automated system gave pin number rapidly signal broke unable write number even hear unable get automated system repeat number credit frozen way unfreeze damage longer citizen right finance car home education short term loan emergency entrepreneurial opportunity damage experienced significant see way rectify rest life speak person experian credit reporting agency required personnel available answer phone agency strip citizen right credit fault citizen
debt_collection,debt paid still reported national credit bureau communicated several time answer
mortgages_and_loans,mortgage year select portfolio servicing bought mortgage modificaton ended informed maturity date mortgage came denied type hardship threating foreclose home senior citizen veteran want loose home please help
credit_reporting,victim identity theft information expoused world wide web account created knowledge first learn back tried collect debt account mine opened investigation cancel collection realize originated account check credit found fraudulent account account belong need help resolve situation cause pay high interest diminish ability get credit please help
credit_reporting,opened account cellular phone service approximately early service month month contract phone purchased account phone free switched line switched phone company cheaper rate continued bill phone service received phone even charged phone owe additionally debt incurred debt date reporting changed amount fraudulent incorrect
mortgages_and_loans,tried refinance first mortgage co property located california provided american financing information requested clear applying refinancing purchasing new property surprise american financing sent loan estimate disclosure document signature incorrect example american financing insisted charging transfer tax fee even though trying refinance existing loan clear nobody would added title american financing disclosure document contain required paperwork given california domestic partnership addendum uniform residential loan application mortgage lender refer document statement interest etc addition american financing refused rate even though provided information wanted permission check credit record score three credit reporting bureau social security number date birth employment information personal financial information etc explanation received rate good locked american financing would change initial rate per cent application advised american financing verbal assurance nearly reliable documented one told american financing would lock rate application receives underwriter approval mind take time obtain approval market change daily believe american financing practice lock rate late process hurt customer worst part though pressured loan officer working later manager sign incorrect document tried explain several time verbally wanted sign correct document unfortunately request always met push sign incorrect paperwork explanation effect either american financing system set way time closing loan everything would fine information mistake disadvantage one help ask american financing plan correct mistake start fixing document even advised loan officer manager federal crime provide false information loan application avail loan officer eventually referred manager got manager condescending attitude kept repeating working mortgage loan year knew american financing processing application book since citizen want commit federal crime advised american financing manager forced cease application company due american financing illegal practice coercing signing false document addition asked manager retract american financing credit inquiry record score refused stating given american financing permission conduct inquiry tried explain given permission aware american financing would pressure illegal thing unfortunately received denial another doze condescending lecturing great manager company view kindly ask consumer financial protection bureau investigate illegal activity american financing coerce customer signing incorrect paperwork take whatever corrective measure bureau may deem necessary stop practice help convince american financing retract credit inquiry three credit bureau gave permission inquiry indication would asked illegal thing verify whether american financing staff colorado necessary knowledge document process mortgage loan property california addition please check also american financing mortgage loan processing computer system one argument pushing sign false paperwork american financing system set certain way thank
